Food Establishment Name,Food Establishment Street Address,Food Establishment City,Food Establishment Zip Code,Inspection Date,Inspection Type,Violation Code,Violation Description,Geocoded Location
DELMAR JR-SR HIGH CAFETERIA,200 N EIGHTH ST,DELMAR,19940,10/19/2021,Follow-up,,,"200 N EIGHTH ST
DELMAR, DE 19940
(38.459177, -75.568296)"
DELMAR PIZZA,38660 SUSSEX HWY UNIT 5,DELMAR,19940,07/13/2021,Routine,,,"38660 SUSSEX HWY UNIT 5
DELMAR, DE 19940
(38.457133, -75.558338)"
DELMAR PIZZA,38660 SUSSEX HWY UNIT 5,DELMAR,19940,01/18/2022,Routine,3-302.11,"Packaged and Unpackaged Food-Separation, Packaging, and Segregation","38660 SUSSEX HWY UNIT 5
DELMAR, DE 19940
(38.457133, -75.558338)"
DELMAR VFC,PO BOX 143  BI-STATE BLVD,DELMAR,19940,11/10/2021,Routine,,,
DELMARVA CHRISTIAN SERVICE CAMP,15526 ENGLISH IVY LN,LAUREL,19956,06/14/2021,Routine,,,"15526 ENGLISH IVY LN
LAUREL, DE 19956
(38.533441, -75.482732)"
DELTA  RESTAURANT LLC,304 WEST 9TH STREET,WILMINGTON,19801,03/11/2020,Routine,,,"304 WEST 9TH STREET
WILMINGTON, DE 19801
(39.745632, -75.550738)"
DERR'S D & R MARKET,120 TROUBADOUR WAY,NEWARK,19702,08/06/2020,Routine,,,"120 TROUBADOUR WAY
NEWARK, DE 19702
(39.642329, -75.66488)"
DEWEY BEACH SERVICE #L1,65 SUSSEX ST,REHOBOTH BEACH,19971,05/18/2020,Routine,,,"65 SUSSEX ST
REHOBOTH BEACH, DE 19971
(38.716315, -75.086826)"
DEWEY BEACH SERVICE #L1,65 SUSSEX ST,REHOBOTH BEACH,19971,09/16/2021,Routine,,,"65 SUSSEX ST
REHOBOTH BEACH, DE 19971
(38.716315, -75.086826)"
DEWEY BEACH SERVICE #L2,65 SUSSEX ST,REHOBOTH BEACH,19971,05/18/2020,Routine,,,"65 SUSSEX ST
REHOBOTH BEACH, DE 19971
(38.716315, -75.086826)"
DEWEY BEACH SERVICE #L2,65 SUSSEX ST,REHOBOTH BEACH,19971,09/16/2021,Routine,,,"65 SUSSEX ST
REHOBOTH BEACH, DE 19971
(38.716315, -75.086826)"
DEWEY BEACH SERVICE #L3,65 SUSSEX ST,REHOBOTH BEACH,19971,05/18/2020,Routine,,,"65 SUSSEX ST
REHOBOTH BEACH, DE 19971
(38.716315, -75.086826)"
DEWEY BEACH SERVICE #L3,65 SUSSEX ST,REHOBOTH BEACH,19971,09/16/2021,Routine,,,"65 SUSSEX ST
REHOBOTH BEACH, DE 19971
(38.716315, -75.086826)"
DEWEY BEACH SERVICE #L4,65 SUSSEX ST,REHOBOTH BEACH,19971,05/18/2020,Routine,,,"65 SUSSEX ST
REHOBOTH BEACH, DE 19971
(38.716315, -75.086826)"
DEWEY BEACH SERVICE #L4,65 SUSSEX ST,REHOBOTH BEACH,19971,09/16/2021,Routine,,,"65 SUSSEX ST
REHOBOTH BEACH, DE 19971
(38.716315, -75.086826)"
DEWEY BEACH SERVICE CART L5,65 SUSSEX ST,REHOBOTH BEACH,19971,05/18/2020,Routine,,,"65 SUSSEX ST
REHOBOTH BEACH, DE 19971
(38.716315, -75.086826)"
DEWEY BEACH SERVICE CART L5,65 SUSSEX ST,REHOBOTH BEACH,19971,09/16/2021,Routine,,,"65 SUSSEX ST
REHOBOTH BEACH, DE 19971
(38.716315, -75.086826)"
DEWEY BEACH SERVICE COMMISSARY,65 SUSSEX ST,REHOBOTH BEACH,19971,05/18/2020,Routine,,,"65 SUSSEX ST
REHOBOTH BEACH, DE 19971
(38.716315, -75.086826)"
DEWEY BEACH SERVICE COMMISSARY,65 SUSSEX ST,REHOBOTH BEACH,19971,09/16/2021,Routine,5-205.15,System Maintained in Good Repair,"65 SUSSEX ST
REHOBOTH BEACH, DE 19971
(38.716315, -75.086826)"
DEWEY BEACH SERVICE COMMISSARY,65 SUSSEX ST,REHOBOTH BEACH,19971,09/16/2021,Routine,2-201.11,"Responsibility of Permit Holder, Person in Charge, and Conditional Employees","65 SUSSEX ST
REHOBOTH BEACH, DE 19971
(38.716315, -75.086826)"
DEWEY BEACH SERVICE MOBILE CART L6,65 SUSSEX ST,REHOBOTH BEACH,19971,05/18/2020,Routine,,,"65 SUSSEX ST
REHOBOTH BEACH, DE 19971
(38.716315, -75.086826)"
DEWEY BEACH SERVICE MOBILE CART L6,65 SUSSEX ST,REHOBOTH BEACH,19971,09/16/2021,Routine,,,"65 SUSSEX ST
REHOBOTH BEACH, DE 19971
(38.716315, -75.086826)"
DEWEY BEACH SERVICE MOBILE CART L7,65 SUSSEX ST,REHOBOTH BEACH,19971,05/18/2020,Routine,,,"65 SUSSEX ST
REHOBOTH BEACH, DE 19971
(38.716315, -75.086826)"
DEWEY BEACH SERVICE MOBILE CART L7,65 SUSSEX ST,REHOBOTH BEACH,19971,09/16/2021,Routine,,,"65 SUSSEX ST
REHOBOTH BEACH, DE 19971
(38.716315, -75.086826)"
DEWEY BEACH SERVICE MOBILE CART L8,65 SUSSEX ST,REHOBOTH BEACH,19971,05/18/2020,Routine,,,"65 SUSSEX ST
REHOBOTH BEACH, DE 19971
(38.716315, -75.086826)"
DEWEY BEACH SERVICE MOBILE CART L8,65 SUSSEX ST,REHOBOTH BEACH,19971,09/16/2021,Routine,,,"65 SUSSEX ST
REHOBOTH BEACH, DE 19971
(38.716315, -75.086826)"
DEWEY BEER COMPANY,2100 COASTAL HWY,DEWEY  BEACH,19971,03/04/2020,Routine,5-205.15,System Maintained in Good Repair,"2100 COASTAL HWY
DEWEY  BEACH, DE 19971
(38.696069, -75.075207)"
DEWEY BEER COMPANY,2100 COASTAL HWY,DEWEY  BEACH,19971,03/04/2020,Routine,6-301.11,"Handwashing Cleanser, Availability","2100 COASTAL HWY
DEWEY  BEACH, DE 19971
(38.696069, -75.075207)"
DICKEY'S FROZEN CUSTARD,101 GARFIELD PKWY,BETHANY BEACH,19930,06/09/2021,Routine,,,"101 GARFIELD PKWY
BETHANY BEACH, DE 19930
(38.538491, -75.055594)"
DICKEY'S FROZEN CUSTARD,97 GARFIELD PKWY,BETHANY BEACH,19930,06/09/2021,Routine,,,"97 GARFIELD PKWY
BETHANY BEACH, DE 19930
(38.538508, -75.054792)"
DIFEBOS MARKET,788 GARFIELD PARKWAY,BETHANY BEACH,19930,03/31/2021,Routine,,,"788 GARFIELD PARKWAY
BETHANY BEACH, DE 19930
(38.540515, -75.071683)"
DIFEBOS MARKET,788 GARFIELD PARKWAY,BETHANY BEACH,19930,07/09/2021,Routine,4-501.114,"Manual and Mechanical Warewashing Equipment, Chemical Sanitization-Temperature, pH, Concentration and Hardness","788 GARFIELD PARKWAY
BETHANY BEACH, DE 19930
(38.540515, -75.071683)"
DIFEBOS MARKET,788 GARFIELD PARKWAY,BETHANY BEACH,19930,07/09/2021,Routine,5-205.11,Using a Handwashing Sink-Operation and Maintenance,"788 GARFIELD PARKWAY
BETHANY BEACH, DE 19930
(38.540515, -75.071683)"
DIFEBOS MARKET,788 GARFIELD PARKWAY,BETHANY BEACH,19930,07/09/2021,Routine,3-302.11,"Packaged and Unpackaged Food-Separation, Packaging, and Segregation","788 GARFIELD PARKWAY
BETHANY BEACH, DE 19930
(38.540515, -75.071683)"
DIFEBOS MARKET,788 GARFIELD PARKWAY,BETHANY BEACH,19930,11/16/2021,Routine,4-501.114,"Manual and Mechanical Warewashing Equipment, Chemical Sanitization-Temperature, pH, Concentration and Hardness","788 GARFIELD PARKWAY
BETHANY BEACH, DE 19930
(38.540515, -75.071683)"
DIFEBOS MARKET,788 GARFIELD PARKWAY,BETHANY BEACH,19930,11/16/2021,Routine,3-501.17,"Ready-To-Eat Time/Temperature Control for Safety Food, Date Marking","788 GARFIELD PARKWAY
BETHANY BEACH, DE 19930
(38.540515, -75.071683)"
DIFEBO'S RESTAURANT & DELI,789 GARFIELD PKWY,BETHANY BEACH,19930,02/11/2020,Routine,3-501.17,"Ready-To-Eat Time/Temperature Control for Safety Food, Date Marking","789 GARFIELD PKWY
BETHANY BEACH, DE 19930
(38.540487, -75.071568)"
DIFEBO'S RESTAURANT & DELI,789 GARFIELD PKWY,BETHANY BEACH,19930,03/31/2021,Routine,3-501.16,"Time/Temperature Control for Safety Food, Hot and Cold Holding","789 GARFIELD PKWY
BETHANY BEACH, DE 19930
(38.540487, -75.071568)"
DINAH LINGO'S GROCERY INC,30 BALTIMORE AVE,REHOBOTH BEACH,19971,08/16/2021,Routine,,,"30 BALTIMORE AVE
REHOBOTH BEACH, DE 19971
(38.717218, -75.079464)"
DIOS PROVEE ANTOJITOS MEXICANOS,328 HIGH STREET,SEAFORD,19973,07/09/2021,Routine,,,"328 HIGH STREET
SEAFORD, DE 19973
(38.641484, -75.610803)"
DIPASQUALES BAKERY,36908 SLITICATO DR STE 13,MILLSBORO,19966,02/24/2020,Routine,,,"36908 SLITICATO DR STE 13
MILLSBORO, DE 19966
(38.634517, -75.195586)"
DIPS OCEANMART DELI,2501 RED LION ROAD,KIRKWOOD,19708,10/29/2021,Routine,,,"2501 RED LION ROAD
KIRKWOOD, DE 19708
(39.570378, -75.697687)"
DOGFISH BREWING AND EATS,320 REHOBOTH AVE,REHOBOTH BEACH,19971,02/19/2020,Routine,2-301.15,Where to Wash,"320 REHOBOTH AVE
REHOBOTH BEACH, DE 19971
(38.715419, -75.087101)"
DOGFISH BREWING AND EATS,320 REHOBOTH AVE,REHOBOTH BEACH,19971,02/19/2020,Routine,2-301.15,Where to Wash,"320 REHOBOTH AVE
REHOBOTH BEACH, DE 19971
(38.715419, -75.087101)"
DOGFISH BREWING AND EATS,320 REHOBOTH AVE,REHOBOTH BEACH,19971,02/19/2020,Routine,2-301.15,Where to Wash,"320 REHOBOTH AVE
REHOBOTH BEACH, DE 19971
(38.715419, -75.087101)"
DOGGIE STYLE,4 N FIRST ST,REHOBOTH BEACH,19971,06/15/2021,Routine,,,"4 N FIRST ST
REHOBOTH BEACH, DE 19971
(38.716857, -75.078995)"
DOGGONE GOOD HOT DOGS,2105 N VAN BURENS ST,WILMINGTON,19802,05/17/2021,Routine,,,"2105 N VAN BURENS ST
WILMINGTON, DE 19802
(39.758889, -75.545081)"
DOGS R US II,25374 NORTH OAK DR,MILLSBORO,19966,01/31/2020,Routine,5-205.15,System Maintained in Good Repair,"25374 NORTH OAK DR
MILLSBORO, DE 19966
(38.590681, -75.308231)"
DOMINICAN CAFÉ,1223 W 4TH ST,WILMINGTON,19805,01/08/2021,Routine,,,"1223 W 4TH ST
WILMINGTON, DE 19805
(39.745456, -75.563666)"
DOMINICK'S PIZZA,2715 PULASKI HWY,NEWARK,19702,11/15/2021,Routine,,,"2715 PULASKI HWY
NEWARK, DE 19702
(39.603473, -75.75851)"
DOMINO'S,12 POLLY DRUMMOND HILL,NEWARK,19711,05/21/2020,Routine,,,"12 POLLY DRUMMOND HILL
NEWARK, DE 19711
(39.698855, -75.709348)"
DOMINO'S,1202 DELAWARE STREET,NEW CASTLE,19720,05/19/2020,Routine,,,"1202 DELAWARE STREET
NEW CASTLE, DE 19720
(39.664026, -75.576122)"
DOMINO'S,1728 MARSH RD,WILMINGTON,19803,05/21/2020,Routine,,,"1728 MARSH RD
WILMINGTON, DE 19803
(39.800573, -75.505195)"
DOMINO'S,20 SALEM VILLAGE SQUARE,NEWARK,19711,05/13/2020,Routine,,,"20 SALEM VILLAGE SQUARE
NEWARK, DE 19711
(39.667636, -75.695352)"
DOMINO'S,2425 PULASKI HWY,NEWARK,19702,05/22/2020,Routine,,,"2425 PULASKI HWY
NEWARK, DE 19702
(39.605453, -75.74708)"
DOMINO'S,401 S MARKET ST,WILMINGTON,19801,06/08/2020,Routine,,,"401 S MARKET ST
WILMINGTON, DE 19801
(39.733196, -75.556134)"
DOMINO'S,4528 KIRKWOOD HWY,WILMINGTON,19808,05/22/2020,Routine,,,"4528 KIRKWOOD HWY
WILMINGTON, DE 19808
(39.724371, -75.656873)"
DOMINO'S,60 N COLLEGE AVE,NEWARK,19711,06/11/2020,Routine,,,"60 N COLLEGE AVE
NEWARK, DE 19711
(39.685349, -75.754387)"
DOMINOS',7465 LANCASTER PIKE,HOCKESSIN,19707,04/27/2020,Routine,,,"7465 LANCASTER PIKE
HOCKESSIN, DE 19707
(39.789585, -75.698835)"
DOMINOS PIZZA,132 BROADKILL RD,MILTON,19968,04/08/2021,Routine,6-301.12,Hand Drying Provision,"132 BROADKILL RD
MILTON, DE 19968
(38.788114, -75.313907)"
DOMINOS PIZZA,132 BROADKILL RD,MILTON,19968,08/13/2021,Routine,,,"132 BROADKILL RD
MILTON, DE 19968
(38.788114, -75.313907)"
DOMINO'S PIZZA,2 BACK BAY PARK CENTER,MILLSBORO,19966,03/11/2020,Routine,,,"2 BACK BAY PARK CENTER
MILLSBORO, DE 19966
(38.697185, -75.085599)"
DOMINO'S PIZZA,20775 DUPONT BLVD,GEORGETOWN,19947,08/31/2021,Routine,,,"20775 DUPONT BLVD
GEORGETOWN, DE 19947
(38.693772, -75.399204)"
DOMINO'S PIZZA,20775 DUPONT BLVD,GEORGETOWN,19947,10/26/2021,Routine,,,"20775 DUPONT BLVD
GEORGETOWN, DE 19947
(38.693772, -75.399204)"
DOMINO'S PIZZA,2472 N DUPONT HWY,MIDDLETOWN,19709,05/28/2020,Routine,,,"2472 N DUPONT HWY
MIDDLETOWN, DE 19709
(39.493467, -75.649716)"
DOMINO'S PIZZA,30182 SUSSEX HWY UNIT 1,LAUREL,19956,03/02/2021,Routine,,,"30182 SUSSEX HWY UNIT 1
LAUREL, DE 19956
(38.579075, -75.568259)"
DOMINO'S PIZZA,4416 SUMMIT BRIDGE,MIDDLETOWN,19709,07/07/2020,Routine,,,"4416 SUMMIT BRIDGE
MIDDLETOWN, DE 19709
(39.512597, -75.711722)"
DOMINO'S PIZZA,504 KIRKWOOD HWY,ELSMERE,19805,09/03/2020,Routine,,,"504 KIRKWOOD HWY
ELSMERE, DE 19805
(39.738866, -75.590927)"
DOMINO'S PIZZA,7465 LANCASTER PIKE,HOCKESSIN,19707,05/28/2020,Routine,,,"7465 LANCASTER PIKE
HOCKESSIN, DE 19707
(39.789585, -75.698835)"
DOMINOS PIZZA #4443,19 S RACE ST,GEORGETOWN,19947,02/18/2020,Routine,,,"19 S RACE ST
GEORGETOWN, DE 19947
(38.690184, -75.383881)"
DOMIONO'S PIZZA,751 PULASKI HWY,BEAR,19701,05/21/2020,Routine,,,"751 PULASKI HWY
BEAR, DE 19701
(39.643626, -75.641367)"
DONA MARIA,117 HIGH STREET UNIT 101,SEAFORD,19973,01/03/2020,Routine,,,"117 HIGH STREET UNIT 101
SEAFORD, DE 19973
(38.640146, -75.614214)"
DORMAN'S DONUT SHOPPE,33247 FAIRFIELD RD PEDDLERS VILL UN,LEWES,19958,01/16/2020,Routine,2-102.11,Demonstration of Knowledge,
DORMAN'S DONUT SHOPPE,33247 FAIRFIELD RD PEDDLERS VILL UN,LEWES,19958,01/16/2020,Routine,7-202.12,Conditions of Use,
DORMAN'S DONUT SHOPPE,33247 FAIRFIELD RD PEDDLERS VILL UN,LEWES,19958,01/16/2020,Routine,6-301.11,"Handwashing Cleanser, Availability",
DORMAN'S DONUT SHOPPE,33247 FAIRFIELD RD PEDDLERS VILL UN,LEWES,19958,01/16/2020,Routine,6-301.12,Hand Drying Provision,
DORMAN'S DONUT SHOPPE,33247 FAIRFIELD RD PEDDLERS VILL UN,LEWES,19958,01/16/2020,Routine,2-201.11,"Responsibility of Permit Holder, Person in Charge, and Conditional Employees",
DORMAN'S DONUT SHOPPE,33247 FAIRFIELD RD PEDDLERS VILL UN,LEWES,19958,01/22/2020,Follow-up,,,
DOS LOCOS,208 REHOBOTH AVE,REHOBOTH BEACH,19971,02/06/2020,Complaint,5-103.11,Capacity-Quantity and Availability,"208 REHOBOTH AVE
REHOBOTH BEACH, DE 19971
(38.715913, -75.082225)"
DOS LOCOS,208 REHOBOTH AVE,REHOBOTH BEACH,19971,03/09/2020,Follow-up,,,"208 REHOBOTH AVE
REHOBOTH BEACH, DE 19971
(38.715913, -75.082225)"
DOS LOCOS,208 REHOBOTH AVE,REHOBOTH BEACH,19971,05/05/2021,Follow-up,,,"208 REHOBOTH AVE
REHOBOTH BEACH, DE 19971
(38.715913, -75.082225)"
DOS LOCOS FAJITAS & STONE GRILL,18766 J0HN J WILLIAMS HWY,REHOBOTH BEACH,19971,01/29/2020,Routine,4-501.114,"Manual and Mechanical Warewashing Equipment, Chemical Sanitization-Temperature, pH, Concentration and Hardness",
DOS LOCOS FAJITAS & STONE GRILL,18766 J0HN J WILLIAMS HWY,REHOBOTH BEACH,19971,01/29/2020,Routine,5-103.11,Capacity-Quantity and Availability,
DOS LOCOS FAJITAS & STONE GRILL,18766 J0HN J WILLIAMS HWY,REHOBOTH BEACH,19971,01/29/2020,Routine,7-202.12,Conditions of Use,
DOS LOCOS FAJITAS & STONE GRILL,18766 J0HN J WILLIAMS HWY,REHOBOTH BEACH,19971,01/29/2020,Routine,3-501.16,"Time/Temperature Control for Safety Food, Hot and Cold Holding",
DOUBLE DIPPERS,11 NORTH FIRST STREET,REHOBOTH BEACH,19971,06/21/2021,Routine,,,"11 NORTH FIRST STREET
REHOBOTH BEACH, DE 19971
(38.71685, -75.078994)"
DOWN ON THE CORNER,39 COLBY AVE,CLAYMONT,19703,10/20/2020,Routine,,,"39 COLBY AVE
CLAYMONT, DE 19703
(39.810263, -75.450916)"
DOWN SYNDROME ASSOCIATION OF DELAWARE,1240 CAPITOL TRALL,NEWARK,19711,08/20/2021,Routine,,,"1240 CAPITOL TRALL
NEWARK, DE 19711
(39.697344, -75.710778)"
DREAMER COFFEE & JUICE BAR,4 SECOND ST,REHOBOTH BEACH,19971,03/22/2021,Routine,,,"4 SECOND ST
REHOBOTH BEACH, DE 19971
(38.715041, -75.081728)"
DREAMER COFFEE & JUICE BAR,4 SECOND ST,REHOBOTH BEACH,19971,06/15/2021,Routine,6-301.12,Hand Drying Provision,"4 SECOND ST
REHOBOTH BEACH, DE 19971
(38.715041, -75.081728)"
DREAMER COFFEE & JUICE BAR,4 SECOND ST,REHOBOTH BEACH,19971,06/15/2021,Routine,4-302.14,"Sanitizing Solutions, Testing Devices","4 SECOND ST
REHOBOTH BEACH, DE 19971
(38.715041, -75.081728)"
DRIFTING GROUNDS COFFEE HOUSE,786 A GARFIELD PKY,BETHANY BEACH,19930,02/11/2020,Routine,,,"786 A GARFIELD PKY
BETHANY BEACH, DE 19930
(38.540447, -75.071399)"
DUKIN,1901 PENNSYLVANIA AVE,WILMINGTON,19806,06/04/2021,Routine,,,"1901 PENNSYLVANIA AVE
WILMINGTON, DE 19806
(39.755769, -75.567266)"
DUNKIN,905 E BASIN ROAD,NEW CASTLE,19720,09/13/2021,Routine,,,"905 E BASIN ROAD
NEW CASTLE, DE 19720
(39.664904, -75.579525)"
DUNKIN DONUTS,1012 KIRKWOOD HIGHWAY,WILMINGTON,19805,11/08/2021,Routine,,,"1012 KIRKWOOD HIGHWAY
WILMINGTON, DE 19805
(39.739363, -75.598005)"
DUNKIN DONUTS,1204 PULASKI HWY,BEAR,19701,11/04/2021,Routine,,,"1204 PULASKI HWY
BEAR, DE 19701
(39.629606, -75.666131)"
DUNKIN DONUTS,1327 MCKENNANS CHURCH RD,WILMINGTON,19803,11/09/2021,Routine,,,"1327 MCKENNANS CHURCH RD
WILMINGTON, DE 19803
(39.73145, -75.666133)"
DUNKIN DONUTS,198 DUPONT HWY,NEW CASTLE,19720,03/05/2021,Routine,,,"198 DUPONT HWY
NEW CASTLE, DE 19720
(39.678237, -75.592138)"
DUNKIN DONUTS,201 S DUPONT HWY,NEW CASTLE,19720,06/17/2021,Routine,,,"201 S DUPONT HWY
NEW CASTLE, DE 19720
(39.656233, -75.614823)"
DUNKIN DONUTS,205 N DUAL HWY,LAUREL,19956,06/07/2021,Routine,4-501.114,"Manual and Mechanical Warewashing Equipment, Chemical Sanitization-Temperature, pH, Concentration and Hardness",
DUNKIN DONUTS,20550 N DUPONT BLVD,GEORGETOWN,19947,03/30/2021,Routine,,,"20550 N DUPONT BLVD
GEORGETOWN, DE 19947
(38.699516, -75.401262)"
DUNKIN DONUTS,30 SALEM CHURCH,NEWARK,19713,06/16/2021,Routine,,,"30 SALEM CHURCH
NEWARK, DE 19713
(39.675333, -75.697551)"
DUNKIN DONUTS,3001 LANCASTER AVE,WILMINGTON,19805,06/15/2021,Routine,,,"3001 LANCASTER AVE
WILMINGTON, DE 19805
(39.751076, -75.584979)"
DUNKIN DONUTS,33364 PENNSYLVANIA AVE,BETHANY BEACH,19930,03/03/2020,Routine,,,"33364 PENNSYLVANIA AVE
BETHANY BEACH, DE 19930
(38.528122, -75.055922)"
DUNKIN DONUTS,33364 PENNSYLVANIA AVE,BETHANY BEACH,19930,10/04/2021,Routine,5-205.11,Using a Handwashing Sink-Operation and Maintenance,"33364 PENNSYLVANIA AVE
BETHANY BEACH, DE 19930
(38.528122, -75.055922)"
DUNKIN DONUTS,33364 PENNSYLVANIA AVE,BETHANY BEACH,19930,10/04/2021,Routine,6-301.11,"Handwashing Cleanser, Availability","33364 PENNSYLVANIA AVE
BETHANY BEACH, DE 19930
(38.528122, -75.055922)"
DUNKIN DONUTS,7454 LANCASTER PIKE UNITE 2,HOCKESSIN,19707,11/10/2021,Routine,,,"7454 LANCASTER PIKE UNITE 2
HOCKESSIN, DE 19707
(39.789341, -75.698297)"
DUNKIN DONUTS,906 S DUPONT HWY,NEW CASTLE,19720,06/16/2021,Routine,,,"906 S DUPONT HWY
NEW CASTLE, DE 19720
(39.619893, -75.642302)"
DUNKIN DONUTS (U OF D),325 ACADEMY ST,NEWARK,19716,02/06/2020,Routine,,,"325 ACADEMY ST
NEWARK, DE 19716
(39.676782, -75.75018)"
DUPONT CHESTNUT RUN,974 CENTRE RD,WILMINGTON,19805,12/23/2021,Routine,,,"974 CENTRE RD
WILMINGTON, DE 19805
(39.751221, -75.609625)"
DUPONT COUNTRY CLUB,1001 ROCKLAND ROAD,WILMINGTON,19803,09/04/2020,Routine,,,"1001 ROCKLAND ROAD
WILMINGTON, DE 19803
(39.78781, -75.564942)"
DUTCH COUNTRY MARKET,11233 TRUSSOM POND RD,LAUREL,19956,02/27/2020,Routine,,,"11233 TRUSSOM POND RD
LAUREL, DE 19956
(38.547818, -75.553208)"
DUTCH COUNTRY MARKET,11233 TRUSSOM POND RD,LAUREL,19956,09/02/2021,Routine,,,"11233 TRUSSOM POND RD
LAUREL, DE 19956
(38.547818, -75.553208)"
"DUTCH COUNTRY PANTRY, LLC",110 N DUPONT HWY,NEW CASTLE,19720,02/28/2020,Routine,,,"110 N DUPONT HWY
NEW CASTLE, DE 19720
(39.667302, -75.6023)"
EAGLES NEST FAMILY WORSHIP CENTER,PO BOX 129,MILTON,19968,10/08/2021,Routine,,,
EAST SUSSEX MOOSE LODGE #2542,35933 ZION CHURCH RD,FRANKFORD,19945,08/05/2021,Routine,2-201.11,"Responsibility of Permit Holder, Person in Charge, and Conditional Employees","35933 ZION CHURCH RD
FRANKFORD, DE 19945
(38.492188, -75.165991)"
EAST SUSSEX MOOSE LODGE #2542,35933 ZION CHURCH RD,FRANKFORD,19945,08/05/2021,Routine,4-302.14,"Sanitizing Solutions, Testing Devices","35933 ZION CHURCH RD
FRANKFORD, DE 19945
(38.492188, -75.165991)"
EAST SUSSEX MOOSE LODGE #2542,35933 ZION CHURCH RD,FRANKFORD,19945,08/05/2021,Routine,3-101.11,"Safe, Unadulterated and Honestly Presented","35933 ZION CHURCH RD
FRANKFORD, DE 19945
(38.492188, -75.165991)"
EAST SUSSEX MOOSE LODGE #2542,35933 ZION CHURCH RD,FRANKFORD,19945,08/05/2021,Routine,4-601.11,"Equipment, Food-Contact Surfaces, Nonfood-Contact Surfaces, and Utensils","35933 ZION CHURCH RD
FRANKFORD, DE 19945
(38.492188, -75.165991)"
EAST SUSSEX MOOSE LODGE #2542,35933 ZION CHURCH RD,FRANKFORD,19945,08/19/2021,Follow-up,,,"35933 ZION CHURCH RD
FRANKFORD, DE 19945
(38.492188, -75.165991)"
EDDYS FOOD MARKET,700 E 22ND ST,WILMINGTON,19802,01/27/2021,Routine,,,"700 E 22ND ST
WILMINGTON, DE 19802
(39.749533, -75.534973)"
EDIBLE,1714 NAAMANS RD,WILMINGTON,19810,07/06/2021,Routine,,,"1714 NAAMANS RD
WILMINGTON, DE 19810
(39.82288, -75.488617)"
EL AMIGO TIENDA MEXICANA,218 NEW CASTLE AVE,NEW CASTLE,19720,09/20/2021,Routine,,,"218 NEW CASTLE AVE
NEW CASTLE, DE 19720
(39.687529, -75.556415)"
EL AZTECA,826 KOHL AVE,MIDDLETOWN,19709,01/22/2020,Routine,,,"826 KOHL AVE
MIDDLETOWN, DE 19709
(39.441041, -75.740833)"
EL CHARRITO TACOS LLC,55 S SKYWARD DR,NEWARK,19713,05/10/2021,Routine,,,"55 S SKYWARD DR
NEWARK, DE 19713
(39.661631, -75.715595)"
EL FOGON DE TATO,2304 KIRKWOOD HWY,WILMINGTON,19805,02/12/2020,Routine,,,"2304 KIRKWOOD HWY
WILMINGTON, DE 19805
(39.738028, -75.611836)"
EL GRAN CHARRO,6 COLLEGE PARK LANE SUITE 6,GEORGETOWN,19947,01/13/2020,Routine,,,"6 COLLEGE PARK LANE SUITE 6
GEORGETOWN, DE 19947
(38.701727, -75.402847)"
EL GRAN CHARRO,6 COLLEGE PARK LANE SUITE 6,GEORGETOWN,19947,06/07/2021,Routine,,,"6 COLLEGE PARK LANE SUITE 6
GEORGETOWN, DE 19947
(38.701727, -75.402847)"
EL GRAN CHARRO,6 COLLEGE PARK LANE SUITE 6,GEORGETOWN,19947,12/27/2021,Routine,3-501.17,"Ready-To-Eat Time/Temperature Control for Safety Food, Date Marking","6 COLLEGE PARK LANE SUITE 6
GEORGETOWN, DE 19947
(38.701727, -75.402847)"
EL MOLCAJETE,34501 N DUPONT HWY,FRANKFORD,19945,05/17/2021,Follow-up,,,
EL PICANTE LATIN RESTAURANT LLC,22277 LEWES GEORGETOWN HWY,GEORGETOWN,19947,06/28/2021,Routine,,,"22277 LEWES GEORGETOWN HWY
GEORGETOWN, DE 19947
(38.702172, -75.359623)"
EL PICANTE LATIN RESTAURANT LLC,22277 LEWES GEORGETOWN HWY,GEORGETOWN,19947,12/29/2021,Routine,7-102.11,Common Name-Working Containers,"22277 LEWES GEORGETOWN HWY
GEORGETOWN, DE 19947
(38.702172, -75.359623)"
EL PRIMO TAQUERIAS,38188 DUPONT BLVD,SELBYVILLE,19975,09/23/2021,Routine,,,"38188 DUPONT BLVD
SELBYVILLE, DE 19975
(38.460953, -75.233938)"
EL RINCONCITO LATINO,RT 13 MARKET,LAUREL,19956,06/25/2021,Routine,,,
EL TORITO MINIMARKET & RESTAURANT,505 BRIDGEVILLE HWY,SEAFORD,19971,02/13/2020,Routine,,,"505 BRIDGEVILLE HWY
SEAFORD, DE 19971
(38.649771, -75.607317)"
EL TORITO MINIMARKET & RESTAURANT,505 BRIDGEVILLE HWY,SEAFORD,19971,02/13/2020,Routine,,,"505 BRIDGEVILLE HWY
SEAFORD, DE 19971
(38.649771, -75.607317)"
EL TORITO RESTAURANT,303 N RACE ST,GEORGETOWN,19947,01/06/2020,Routine,5-205.15,System Maintained in Good Repair,"303 N RACE ST
GEORGETOWN, DE 19947
(38.693916, -75.388513)"
EL TORITO RESTAURANT,303 N RACE ST,GEORGETOWN,19947,05/06/2021,Routine,,,"303 N RACE ST
GEORGETOWN, DE 19947
(38.693916, -75.388513)"
